DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01/01 00:00:00
31/03 23:30:00
Start_Year: 2021
Channel number,,,,,,,
Sensor code,,,,,,,
          Datum, CO2_Kanäle,         BRELUB1X,            BTEMPB1X,         BRELUB2X,            BTEMPB2X, LogTempA
Units,,,,,,,
Minimum value,,,,,,,
Maximum value,,,,,,,
04/01 14:30:00 ,          5,           96.920,               -1.64,           87.300,               -2.15,       -2
04/01 15:00:00 ,          5,           97.280,               -1.64,           88.370,               -2.15,       -1
04/01 15:30:00 ,          5,           97.330,               -1.64,           87.810,               -2.20,       -1
04/01 16:00:00 ,          5,           97.080,               -1.64,           87.500,               -2.25,       -1
04/01 16:30:00 ,          5,           97.950,               -1.74,           88.990,               -2.30,       -2
04/01 17:00:00 ,          5,           97.280,               -1.95,           88.220,               -2.56,       -2
04/01 17:30:00 ,          5,           97.380,               -2.10,           89.700,               -2.66,       -2
04/01 18:00:00 ,          5,           97.840,               -2.15,           89.290,               -2.71,       -2
04/01 18:30:00 ,          5,           97.230,               -2.25,           89.040,               -2.87,       -2
04/01 19:00:00 ,          5,           97.790,               -2.25,           90.270,               -2.92,       -2
04/01 19:30:00 ,          5,           97.330,               -2.25,           89.400,               -2.92,       -2
04/01 20:00:00 ,          5,           97.640,               -2.36,           89.750,               -2.97,       -2
04/01 20:30:00 ,          5,           97.280,               -2.46,           89.600,               -3.12,       -2
04/01 21:00:00 ,          5,           97.640,               -2.56,           89.750,               -3.17,       -2
04/01 21:30:00 ,          5,           97.230,               -2.61,           89.450,               -3.28,       -2
04/01 22:00:00 ,          5,           97.230,               -2.76,           89.700,               -3.38,       -2
04/01 22:30:00 ,          5,           97.890,               -2.76,           90.780,               -3.43,       -3
04/01 23:00:00 ,          5,           97.590,               -2.92,           89.600,               -3.58,       -3
04/01 23:30:00 ,          5,           97.130,               -3.02,           89.090,               -3.69,       -3
05/01 00:00:00 ,          5,           96.820,               -3.07,           88.990,               -3.74,       -3
05/01 00:30:00 ,          5,           96.510,               -3.12,           89.190,               -3.74,       -3
05/01 01:00:00 ,          5,           97.230,               -3.07,           89.090,               -3.74,       -3
05/01 01:30:00 ,          5,           96.460,               -3.17,           88.470,               -3.84,       -3
05/01 02:00:00 ,          5,           96.970,               -3.17,           89.450,               -3.84,       -3
05/01 02:30:00 ,          5,           96.310,               -3.23,           89.190,               -3.89,       -3
05/01 03:00:00 ,          5,           95.900,               -3.28,           89.040,               -3.94,       -3
05/01 03:30:00 ,          5,           95.330,               -3.28,           89.040,               -3.94,       -3
05/01 04:00:00 ,          5,           95.490,               -3.28,           88.880,               -3.94,       -3
05/01 04:30:00 ,          5,           95.850,               -3.28,           88.730,               -3.94,       -3
05/01 05:00:00 ,          5,           96.360,               -3.23,           89.550,               -3.89,       -3
05/01 05:30:00 ,          5,           95.390,               -3.23,           88.930,               -3.94,       -3
05/01 06:00:00 ,          5,           95.330,               -3.23,           89.750,               -3.94,       -3
05/01 06:30:00 ,          5,           95.800,               -3.23,           90.370,               -3.94,       -3
05/01 07:00:00 ,          5,           95.740,               -3.28,           90.110,               -3.94,       -3
05/01 07:30:00 ,          5,           95.800,               -3.23,           89.700,               -3.94,       -3
05/01 08:00:00 ,          5,           95.390,               -3.17,           90.060,               -3.94,       -3
05/01 08:30:00 ,          5,           95.490,               -3.23,           90.160,               -3.84,       -3
05/01 09:00:00 ,          5,           95.950,               -3.23,           90.370,               -3.89,       -3
05/01 09:30:00 ,          5,           95.030,               -3.28,           89.140,               -3.99,       -3
05/01 10:00:00 ,          5,           94.770,               -3.28,           88.170,               -3.94,       -3
05/01 10:30:00 ,          5,           93.180,               -3.28,           85.500,               -3.94,       -3
05/01 11:00:00 ,          5,           92.470,               -3.23,           86.220,               -3.94,       -3
05/01 11:30:00 ,          5,           92.670,               -3.23,           86.840,               -3.94,       -3
05/01 12:00:00 ,          5,           93.080,               -3.12,           87.450,               -3.79,       -3
05/01 12:30:00 ,          5,           93.440,               -2.97,           87.910,               -3.64,       -3
05/01 13:00:00 ,          5,           95.080,               -2.82,           89.190,               -3.53,       -3
05/01 13:30:00 ,          5,           95.390,               -2.76,           89.700,               -3.53,       -3
05/01 14:00:00 ,          5,           96.260,               -2.82,           89.750,               -3.58,       -3
05/01 14:30:00 ,          5,           96.000,               -2.82,           89.190,               -3.53,       -3
05/01 15:00:00 ,          5,           95.900,               -2.82,           89.400,               -3.53,       -3
05/01 15:30:00 ,          5,           96.200,               -2.92,           90.370,               -3.58,       -3
05/01 16:00:00 ,          5,           95.900,               -2.92,           90.320,               -3.64,       -3
05/01 16:30:00 ,          5,           96.410,               -2.92,           90.780,               -3.64,       -3
05/01 17:00:00 ,          5,           96.560,               -2.92,           91.340,               -3.69,       -3
05/01 17:30:00 ,          5,           96.670,               -2.92,           91.490,               -3.53,       -3
05/01 18:00:00 ,          5,           97.430,               -2.87,           92.060,               -3.58,       -3
05/01 18:30:00 ,          5,           97.890,               -2.87,           92.570,               -3.53,       -3
05/01 19:00:00 ,          5,           98.200,               -2.82,           93.030,               -3.53,       -3
05/01 19:30:00 ,          5,           98.820,               -2.82,           93.750,               -3.53,       -3
05/01 20:00:00 ,          5,           99.330,               -2.82,           94.260,               -3.53,       -3
05/01 20:30:00 ,          5,           99.990,               -2.82,           94.920,               -3.53,       -3
05/01 21:00:00 ,          5,          100.350,               -2.76,           95.280,               -3.38,       -3
05/01 21:30:00 ,          5,          100.510,               -2.56,           94.570,               -3.12,       -3
05/01 22:00:00 ,          5,          100.150,               -2.41,           94.050,               -3.02,       -3
05/01 22:30:00 ,          5,          100.450,               -2.56,           94.670,               -3.17,       -3
05/01 23:00:00 ,          5,          100.350,               -2.51,           94.210,               -3.12,       -3
05/01 23:30:00 ,          5,          100.610,               -2.51,           94.820,               -3.02,       -3
06/01 00:00:00 ,          5,          100.400,               -2.30,           94.360,               -2.92,       -3
06/01 00:30:00 ,          5,          100.350,               -2.20,           93.750,               -2.76,       -3
06/01 01:00:00 ,          5,          100.250,               -2.15,           93.950,               -2.76,       -2
06/01 01:30:00 ,          5,          100.350,               -2.30,           94.520,               -2.87,       -2
06/01 02:00:00 ,          5,          100.610,               -2.41,           95.080,               -2.87,       -2
06/01 02:30:00 ,          5,          100.610,               -2.56,           95.440,               -3.28,       -2
06/01 03:00:00 ,          5,          100.660,               -2.41,           95.540,               -2.87,       -2
06/01 03:30:00 ,          5,          100.660,               -2.46,           95.330,               -3.12,       -2
06/01 04:00:00 ,          5,          100.710,               -2.56,           95.640,               -3.17,       -2
06/01 04:30:00 ,          5,          100.710,               -2.51,           95.850,               -3.23,       -2
06/01 05:00:00 ,          5,          100.660,               -2.51,           95.540,               -3.17,       -2
06/01 05:30:00 ,          5,          100.660,               -2.41,           95.850,               -3.07,       -2
06/01 06:00:00 ,          5,          100.660,               -2.51,           96.360,               -3.17,       -2
06/01 06:30:00 ,          5,          100.660,               -2.56,           96.460,               -3.17,       -2
06/01 07:00:00 ,          5,          100.660,               -2.56,           96.510,               -3.17,       -2
06/01 07:30:00 ,          5,          100.660,               -2.51,           96.610,               -3.12,       -3
06/01 08:00:00 ,          5,          100.660,               -2.41,           96.670,               -3.02,       -2
06/01 08:30:00 ,          5,          100.660,               -2.41,           96.560,               -3.02,       -2
06/01 09:00:00 ,          5,          100.660,               -2.30,           96.720,               -2.92,       -2
06/01 09:30:00 ,          5,          100.660,               -2.15,           97.020,               -2.82,       -2
06/01 10:00:00 ,          5,          100.660,               -2.10,           97.180,               -2.76,       -2
06/01 10:30:00 ,          5,          100.660,               -2.10,           97.230,               -2.76,       -2
06/01 11:00:00 ,          5,          100.660,               -2.00,           97.330,               -2.71,       -2
06/01 11:30:00 ,          5,          100.660,               -2.00,           97.380,               -2.66,       -2
06/01 12:00:00 ,          5,          100.660,               -1.79,           97.280,               -2.41,       -2
06/01 12:30:00 ,          5,          100.660,               -1.79,           97.080,               -2.46,       -2
06/01 13:00:00 ,          5,          100.660,               -1.59,           97.130,               -2.25,       -2
06/01 13:30:00 ,          5,          100.660,               -1.59,           97.080,               -2.30,       -2
06/01 14:00:00 ,          5,          100.660,               -1.59,           97.130,               -2.25,       -2
06/01 14:30:00 ,          5,          100.660,               -1.74,           97.080,               -2.36,       -2
06/01 15:00:00 ,          5,          100.660,               -1.79,           96.920,               -2.41,       -2
06/01 15:30:00 ,          5,          100.660,               -1.69,           97.020,               -2.30,       -2
06/01 16:00:00 ,          5,          100.660,               -1.79,           97.020,               -2.36,       -2
06/01 16:30:00 ,          5,          100.710,               -1.84,           97.230,               -2.51,       -2
06/01 17:00:00 ,          5,          100.660,               -1.95,           97.280,               -2.61,       -2
06/01 17:30:00 ,          5,          100.660,               -2.10,           97.180,               -2.71,       -2
06/01 18:00:00 ,          5,          100.660,               -2.15,           97.080,               -2.76,       -2
06/01 18:30:00 ,          5,          100.660,               -2.15,           96.920,               -2.76,       -2
06/01 19:00:00 ,          5,          100.660,               -2.20,           96.920,               -2.76,       -2
06/01 19:30:00 ,          5,          100.660,               -2.15,           96.970,               -2.71,       -2
06/01 20:00:00 ,          5,          100.660,               -2.10,           97.080,               -2.71,       -2
06/01 20:30:00 ,          5,          100.660,               -2.05,           97.080,               -2.66,       -2
06/01 21:00:00 ,          5,          100.660,               -2.10,           97.080,               -2.71,       -2
06/01 21:30:00 ,          5,          100.660,               -2.10,           97.080,               -2.71,       -2
06/01 22:00:00 ,          5,          100.660,               -2.05,           97.130,               -2.66,       -2
06/01 22:30:00 ,          5,          100.660,               -2.00,           97.180,               -2.66,       -2
06/01 23:00:00 ,          5,          100.660,               -2.00,           97.230,               -2.66,       -2
06/01 23:30:00 ,          5,          100.710,               -1.95,           97.180,               -2.61,       -2
07/01 00:00:00 ,          5,          100.660,               -1.89,           97.130,               -2.51,       -2
07/01 00:30:00 ,          5,          100.660,               -1.89,           97.130,               -2.51,       -2
07/01 01:00:00 ,          5,          100.660,               -1.89,           97.180,               -2.51,       -2
07/01 01:30:00 ,          5,          100.660,               -1.95,           97.130,               -2.51,       -2
07/01 02:00:00 ,          5,          100.660,               -1.89,           97.080,               -2.51,       -2
07/01 02:30:00 ,          5,          100.710,               -1.95,           97.130,               -2.51,       -2
07/01 03:00:00 ,          5,          100.660,               -2.00,           97.130,               -2.61,       -2
07/01 03:30:00 ,          5,          100.660,               -2.05,           97.080,               -2.66,       -2
07/01 04:00:00 ,          5,          100.660,               -2.10,           97.020,               -2.71,       -2
07/01 04:30:00 ,          5,          100.660,               -2.10,           96.820,               -2.71,       -2
07/01 05:00:00 ,          5,          100.660,               -2.10,           96.670,               -2.71,       -2
07/01 05:30:00 ,          5,          100.660,               -2.15,           96.720,               -2.71,       -2
07/01 06:00:00 ,          5,          100.660,               -2.15,           96.820,               -2.76,       -2
07/01 06:30:00 ,          5,          100.660,               -2.15,           96.820,               -2.76,       -2
07/01 07:00:00 ,          5,          100.660,               -2.15,           96.770,               -2.76,       -2
07/01 07:30:00 ,          5,          100.660,               -2.10,           96.670,               -2.71,       -2
07/01 08:00:00 ,          5,          100.660,               -2.15,           96.670,               -2.76,       -2
07/01 08:30:00 ,          5,          100.660,               -2.15,           96.720,               -2.76,       -2
07/01 09:00:00 ,          5,          100.660,               -2.10,           96.770,               -2.76,       -2
07/01 09:30:00 ,          5,          100.660,               -2.10,           96.770,               -2.71,       -2
07/01 10:00:00 ,          5,          100.710,               -1.89,           96.670,               -2.56,       -2
