DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01/01 00:00:00
31/03 23:30:00
Start_Year: 2021
Channel number,,,,,,,
Sensor code,,,,,,,
          Datum, CO3_Kanäle,            FWINDXXX,          FREGENXX,         FReLuxxx,            FTempxxx,           FGlobalx
Units,,,,,,,
Minimum value,,,,,,,
Maximum value,,,,,,,
04/01 21:00:00 ,          5,               0.981,               0.0,           90.930,               -3.84,               0.03
04/01 21:30:00 ,          5,               0.977,               0.0,           91.190,               -3.94,               0.03
04/01 22:00:00 ,          5,               1.045,               0.0,           91.080,               -4.04,               0.03
04/01 22:30:00 ,          5,               0.829,               0.0,           91.030,               -4.20,               0.03
04/01 23:00:00 ,          5,               1.012,               0.0,           90.880,               -4.35,               0.03
04/01 23:30:00 ,          5,               1.136,               0.0,           90.830,               -4.35,               0.03
05/01 00:00:00 ,          5,               0.901,               0.0,           90.980,               -4.40,               0.03
05/01 00:30:00 ,          5,               0.738,               0.0,           90.680,               -4.45,               0.03
05/01 01:00:00 ,          5,               0.884,               0.0,           90.470,               -4.51,               0.03
05/01 01:30:00 ,          5,               1.107,               0.0,           90.010,               -4.51,               0.03
05/01 02:00:00 ,          5,               0.938,               0.0,           90.060,               -4.56,               0.03
05/01 02:30:00 ,          5,               1.221,               0.0,           89.750,               -4.56,               0.03
05/01 03:00:00 ,          5,               0.924,               0.0,           89.910,               -4.56,               0.03
05/01 03:30:00 ,          5,               0.994,               0.0,           90.270,               -4.61,               0.03
05/01 04:00:00 ,          5,               0.545,               0.0,           89.960,               -4.56,               0.03
05/01 04:30:00 ,          5,               0.556,               0.0,           90.110,               -4.56,               0.03
05/01 05:00:00 ,          5,               0.543,               0.0,           90.780,               -4.56,               0.03
05/01 05:30:00 ,          5,               0.238,               0.0,           90.780,               -4.51,               0.03
05/01 06:00:00 ,          5,               0.531,               0.0,           91.290,               -4.51,               0.03
05/01 06:30:00 ,          5,               0.459,               0.0,           91.550,               -4.56,               0.03
05/01 07:00:00 ,          5,               0.120,               0.0,           91.550,               -4.56,               0.03
05/01 07:30:00 ,          5,               0.136,               0.0,           92.260,               -4.51,               0.03
05/01 08:00:00 ,          5,               0.118,               0.0,           91.440,               -4.51,               0.03
05/01 08:30:00 ,          5,               0.176,               0.0,           92.210,               -4.51,               0.11
05/01 09:00:00 ,          5,               0.165,               0.0,           93.080,               -4.56,               2.43
05/01 09:30:00 ,          5,               0.246,               0.0,           91.960,               -4.56,               4.69
05/01 10:00:00 ,          5,               0.475,               0.0,           89.550,               -4.56,               9.23
05/01 10:30:00 ,          5,               0.529,               0.0,           85.960,               -4.56,              11.12
05/01 11:00:00 ,          5,               0.864,               0.0,           86.840,               -4.51,              12.45
05/01 11:30:00 ,          5,               0.527,               0.0,           87.400,               -4.45,              12.83
