DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01.01. 00:00
31.07. 23:30
Start_Year: 2020
Channel number,,,,,,,,,,,
Sensor code,,,,,,,,,,,
        Datum, Logtemp, BoTemp10, BoTemp30, ThTa_A15, ThTa_B15, ThTa_A30, ThTa_B30, ThTa_A60, ThTa_B60, EsModem
Units,,,,,,,,,,,
Minimum value,,,,,,,,,,,
Maximum value,,,,,,,,,,,
03.01. 18:00 ,    5.15,    30.03,    30.03,    20.89,   100.48,    -0.28,    15.60,     4.08,    -0.38,    5.21
03.01. 18:30 ,    5.38,    30.03,    30.03,    20.86,    63.28,    -0.28,    15.60,     4.08,    -0.38,    0.09
03.01. 19:00 ,    5.48,    30.03,    30.03,    20.86,   100.08,    -0.28,    15.60,     4.05,    -0.38,    5.21
03.01. 19:30 ,    5.48,    30.03,    30.03,    20.86,   100.72,    -0.28,    15.60,     4.08,    -0.38,    0.09
03.01. 20:00 ,    5.48,    30.03,    30.03,    20.89,   100.00,    -0.28,    15.60,     4.08,    -0.38,    5.21
03.01. 20:30 ,    5.46,    30.03,    30.03,    20.86,   100.80,    -0.28,    15.60,     4.05,    -0.38,    0.09
03.01. 21:00 ,    5.38,    30.03,    30.03,    20.86,   101.76,    -0.28,    15.60,     4.08,    -0.38,    0.09
03.01. 21:30 ,    5.46,    30.03,    30.03,    20.89,   101.84,    -0.28,    15.60,     4.05,    -0.38,    0.09
03.01. 22:00 ,    5.48,    30.03,    30.03,    20.89,   102.00,    -0.28,    15.60,     4.08,    -0.38,    0.09
03.01. 22:30 ,    5.59,    30.03,    30.03,    20.86,   102.24,    -0.28,    15.60,     4.08,    -0.38,    0.09
03.01. 23:00 ,    5.73,    30.03,    30.03,    20.89,   102.08,    -0.28,    15.60,     4.08,    -0.38,    0.09
03.01. 23:30 ,    5.86,    30.03,    30.03,    20.86,   101.20,    -0.28,    15.60,     4.05,    -0.38,    5.21
04.01. 00:00 ,    5.92,    30.03,    30.03,    20.86,   101.60,    -0.28,    15.57,     4.08,    -0.38,    5.21
04.01. 00:30 ,    5.97,    30.03,    30.03,    20.86,   101.20,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 01:00 ,    6.03,    30.03,    30.03,    20.86,   100.88,    -0.28,    15.60,     4.05,    -0.38,    5.21
04.01. 01:30 ,    6.04,    30.03,    30.03,    20.89,   100.96,    -0.28,    15.57,     4.05,    -0.38,    5.21
04.01. 02:00 ,    6.08,    30.03,    30.03,    20.86,   100.64,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 02:30 ,    6.14,    30.03,    30.03,    20.86,   100.32,    -0.28,    15.60,     4.05,    -0.38,    0.09
04.01. 03:00 ,    6.14,    30.03,    30.03,    20.86,   100.24,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 03:30 ,    6.14,    30.03,    30.03,    20.86,   100.00,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 04:00 ,    6.10,    30.03,    30.03,    20.86,   100.16,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 04:30 ,    5.97,    30.03,    30.03,    20.86,    91.44,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 05:00 ,    5.79,    30.03,    30.03,    20.86,   100.00,    -0.28,    15.57,     4.08,    -0.38,    5.21
04.01. 05:30 ,    5.55,    30.03,    30.03,    20.84,    80.48,    -0.28,    15.57,     4.05,    -0.38,    5.22
04.01. 06:00 ,    5.31,    30.03,    30.03,    20.86,    38.82,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 06:30 ,    5.04,    30.03,    30.03,    20.86,    44.80,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 07:00 ,    4.86,    30.03,    30.03,    20.84,    37.80,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 07:30 ,    4.62,    30.03,    30.03,    20.86,    45.92,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 08:00 ,    4.37,    30.03,    30.03,    20.84,    38.57,    -0.28,    15.57,     4.05,    -0.38,    5.21
04.01. 08:30 ,    4.17,    30.03,    30.03,    20.84,    48.40,    -0.28,    15.57,     4.05,    -0.38,    5.21
04.01. 09:00 ,    3.98,    30.03,    30.03,    20.86,    32.48,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 09:30 ,    3.79,    30.03,    30.03,    20.84,    41.12,    -0.28,    15.57,     4.05,    -0.38,    5.21
04.01. 10:00 ,    3.58,    30.03,    30.03,    20.86,    41.04,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 10:30 ,    3.46,    30.03,    30.03,    20.86,    40.34,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 11:00 ,    3.43,    30.03,    30.03,    20.84,   100.16,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 11:30 ,    3.47,    30.03,    30.03,    20.84,    64.88,    -0.28,    15.55,     4.05,    -0.38,    0.09
04.01. 12:00 ,    3.58,    30.03,    30.03,    20.84,   100.24,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 12:30 ,    3.68,    30.03,    30.03,    20.86,    99.68,    -0.28,    15.55,     4.05,    -0.38,    0.09
04.01. 13:00 ,    3.85,    30.03,    30.03,    20.84,   100.08,    -0.28,    15.55,     4.05,    -0.38,    0.09
04.01. 13:30 ,    3.98,    30.03,    30.03,    20.86,    45.12,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 14:00 ,    4.09,    30.03,    30.03,    20.84,    57.68,    -0.28,    15.55,     4.05,    -0.38,    0.09
04.01. 14:30 ,    4.19,    30.03,    30.03,    20.86,    60.24,    -0.28,    15.55,     4.05,    -0.38,    5.20
04.01. 15:00 ,    4.19,    30.03,    30.03,    20.84,    46.00,    -0.28,    15.55,     4.05,    -0.38,    5.21
04.01. 15:30 ,    4.19,    30.03,    30.03,    20.84,    46.64,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 16:00 ,    4.19,    30.03,    30.03,    20.84,    70.72,    -0.28,    15.57,     4.05,    -0.38,    0.09
04.01. 16:30 ,    4.09,    30.03,    30.03,    20.86,    73.28,    -0.28,    15.55,     4.05,    -0.38,    0.09
04.01. 17:00 ,    4.09,    30.03,    30.03,    20.84,    37.58,    -0.28,    15.55,     4.05,    -0.38,    0.09
04.01. 17:30 ,    4.00,    30.03,    30.03,    20.84,    42.72,    -0.28,    15.55,     4.05,    -0.38,    0.09
04.01. 18:00 ,    3.90,    30.03,    30.03,    20.84,    92.08,    -0.28,    15.55,     4.05,    -0.38,    0.08
04.01. 18:30 ,    3.84,    30.03,    30.03,    20.84,    97.60,    -0.28,    15.55,     4.05,    -0.38,    0.09
04.01. 19:00 ,    3.81,    30.03,    30.03,    20.84,    99.68,    -0.28,    15.57,     4.05,    -0.38,    5.21
04.01. 19:30 ,    3.81,    30.03,    30.03,    20.86,    99.92,    -0.28,    15.55,     4.05,    -0.38,    0.09
04.01. 20:00 ,    3.81,    30.03,    30.03,    20.84,    43.76,    -0.28,    15.55,     4.05,    -0.38,    0.09
04.01. 20:30 ,    3.90,    30.03,    30.03,    20.84,    82.00,    -0.28,    15.55,     4.05,    -0.38,    0.09
04.01. 21:00 ,    3.98,    30.03,    30.03,    20.81,    90.08,    -0.28,    15.55,     4.05,    -0.38,    0.09
04.01. 21:30 ,    4.06,    30.03,    30.03,    20.84,    97.12,    -0.28,    15.55,     4.02,    -0.38,    0.09
04.01. 22:00 ,    4.09,    30.03,    30.03,    20.84,   100.16,    -0.28,    15.55,     4.05,    -0.38,    0.09
04.01. 22:30 ,    4.17,    30.03,    30.03,    20.84,   100.16,    -0.28,    15.55,     4.05,    -0.38,    0.09
04.01. 23:00 ,    4.19,    30.03,    30.03,    20.84,   100.08,    -0.28,    15.55,     4.05,    -0.38,    5.21
04.01. 23:30 ,    4.19,    30.03,    30.03,    20.84,   100.16,    -0.28,    15.55,     4.05,    -0.38,    5.21
05.01. 00:00 ,    4.19,    30.03,    30.03,    20.84,   100.08,    -0.28,    15.55,     4.05,    -0.38,    0.09
05.01. 00:30 ,    4.14,    30.03,    30.03,    20.81,   100.16,    -0.28,    15.55,     4.05,    -0.38,    0.09
05.01. 01:00 ,    4.09,    30.03,    30.03,    20.81,   100.24,    -0.28,    15.55,     4.02,    -0.38,    0.09
05.01. 01:30 ,    4.09,    30.03,    30.03,    20.81,   100.00,    -0.28,    15.55,     4.02,    -0.38,    0.09
05.01. 02:00 ,    4.04,    30.03,    30.03,    20.84,   100.08,    -0.28,    15.55,     4.05,    -0.38,    0.09
05.01. 02:30 ,    3.98,    30.03,    30.03,    20.84,   100.00,    -0.28,    15.55,     4.05,    -0.38,    0.09
05.01. 03:00 ,    3.90,    30.03,    30.03,    20.81,    96.88,    -0.28,    15.55,     4.05,    -0.38,    0.09
05.01. 03:30 ,    3.84,    30.03,    30.03,    20.81,    82.48,    -0.28,    15.55,     4.05,    -0.38,    0.09
05.01. 04:00 ,    3.77,    30.03,    30.03,    20.81,    97.60,    -0.28,    15.55,     4.05,    -0.38,    5.21
