DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01.01. 00:00
31.03. 23:30
Start_Year: 2020
Channel number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor code,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Datum, RegenY, RegenZ, FDR60z, FDR60y, FDR60x,   PF60z,   PF60y,   PF60x, FDR30z, FDR30y, FDR30x,   PF30z,   PF30y,   PF30x, SE889, SE907, SE897, SE915, SE901, SE908, Temp_889, Temp_915, Temp_897, Temp_904, Temp_908, Temp_901
Units,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum value,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum value,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01. 02:00 ,    0.0,    0.0,  25.84,  26.30,  26.71,   1.276,   1.450,   4.872,  27.02,  -2.59,  -0.25,   1.259,   1.447,   1.080,  3384,  4472, 16480,  3440,  5096, 16480,    -3.52,    -2.94,    -3.19,    -3.35,    -3.03,    -3.11
02.01. 02:30 ,    0.0,    0.0,  25.84,  26.33,  26.71,   1.272,   1.449,   4.864,  27.02,  -2.62,  -0.24,   1.253,   1.445,   1.078,  3376,  4480, 16480,  3440,  5096, 16480,    -3.60,    -3.11,    -3.19,    -3.35,    -3.35,    -3.43
02.01. 03:00 ,    0.0,    0.0,  25.84,  26.33,  26.71,   1.272,   1.448,   4.840,  27.02,  -2.58,  -0.23,   1.263,   1.445,   1.078,  3380,  4476, 16480,  3440,  5096, 16480,    -3.76,    -3.27,    -3.11,    -3.68,    -3.44,    -3.52
02.01. 03:30 ,    0.0,    0.0,  25.84,  26.33,  26.71,   1.270,   1.448,   4.872,  27.02,  -2.57,  -0.22,   1.266,   1.445,   1.077,  3380,  4472, 16480,  3440,  5096, 16480,    -3.93,    -3.44,    -3.52,    -3.85,    -3.52,    -3.60
02.01. 04:00 ,    0.0,    0.0,  25.84,  26.33,  26.71,   1.268,   1.446,   4.768,  27.02,  -2.60,  -0.20,   1.264,   1.443,   1.074,  3392,  4468, 16480,  3440,  5096, 16480,    -4.25,    -3.85,    -4.01,    -4.25,    -3.93,    -3.93
02.01. 04:30 ,    0.0,    0.0,  25.84,  26.33,  26.71,   1.263,   1.443,   4.808,  27.02,  -2.59,  -0.18,   1.256,   1.439,   1.071,  3408,  4464, 16480,  3440,  5128, 16480,    -4.83,    -4.50,    -4.58,    -4.75,    -4.50,    -4.50
02.01. 05:00 ,    0.0,    0.0,  25.84,  26.30,  26.71,   1.260,   1.441,   5.024,  27.02,  -2.57,  -0.18,   1.251,   1.437,   1.068,  3404,  4460, 16480,  3440,  5128, 16480,    -5.07,    -4.83,    -4.83,    -5.07,    -4.66,    -4.91
02.01. 05:30 ,    0.0,    0.0,  25.84,  26.33,  26.68,   1.259,   1.440,   4.816,  27.02,  -2.59,  -0.19,   1.246,   1.436,   1.068,  3400,  4460, 16480,  3440,  5128, 16480,    -4.99,    -4.75,    -4.75,    -4.91,    -4.75,    -4.83
02.01. 06:00 ,    0.0,    0.0,  25.84,  26.33,  26.68,   1.258,   1.440,   4.720,  26.99,  -2.59,  -0.18,   1.244,   1.437,   1.067,  3416,  4460, 16480,  3440,  5128, 16480,    -5.07,    -4.83,    -4.83,    -4.99,    -4.91,    -4.99
02.01. 06:30 ,    0.0,    0.0,  25.84,  26.30,  26.68,   1.258,   1.440,   4.720,  26.99,  -2.58,  -0.19,   1.245,   1.437,   1.067,  3408,  4456, 16480,  3440,  5128, 16480,    -4.83,    -4.66,    -4.66,    -4.83,    -4.66,    -4.75
02.01. 07:00 ,    0.0,    0.0,  25.84,  26.33,  26.68,   1.258,   1.439,   4.848,  26.99,  -2.56,  -0.19,   1.244,   1.437,   1.067,  3420,  4456,  3668,  3440,  5128, 16480,    -4.83,    -4.66,    -4.58,    -4.83,    -4.75,    -4.75
02.01. 07:30 ,    0.0,    0.0,  25.84,  26.30,  26.68,   1.256,   1.440,   4.832,  26.99,  -2.58,  -0.18,   1.245,   1.437,   1.067,  3420,  4456,  3456,  3440,  5112, 16480,    -4.83,    -4.58,    -4.75,    -4.83,    -4.75,    -4.91
02.01. 08:00 ,    0.0,    0.0,  25.84,  26.30,  26.68,   1.253,   1.437,   4.624,  26.99,  -2.60,  -0.16,   1.245,   1.434,   1.064,  3424,  4456,  3444,  3444,  5112, 16480,    -5.32,    -4.99,    -5.15,    -5.32,    -4.99,    -5.15
02.01. 08:30 ,    0.0,    0.0,  25.84,  26.30,  26.68,   1.250,   1.436,   4.600,  26.99,  -2.59,  -0.19,   1.243,   1.433,   1.062,  3372,  4452,  3440,  3444,  5112, 16480,    -5.32,    -5.07,    -5.24,    -5.40,    -5.24,    -5.32
02.01. 09:00 ,    0.0,    0.0,  25.84,  26.33,  26.68,   1.250,   1.435,   4.600,  26.99,  -2.55,  -0.21,   1.243,   1.432,   1.061,  3364,  4452,  3444,  3444,  5112, 16480,    -5.65,    -5.24,    -5.24,    -5.56,    -5.40,    -5.40
02.01. 09:30 ,    0.0,    0.0,  25.84,  26.33,  26.68,   1.249,   1.435,   4.480,  26.99,  -2.50,  -0.21,   1.247,   1.433,   1.062,  3372,  4452,  3444,  3444,  5112, 16480,    -5.48,    -5.15,    -5.24,    -5.40,    -5.32,    -5.32
02.01. 10:00 ,    0.0,    0.0,  25.84,  26.30,  26.68,   1.250,   1.436,   4.792,  26.99,  -2.59,  -0.22,   1.241,   1.433,   1.062,  3376,  4452,  3440,  3444,  5112, 16480,    -4.99,    -4.83,    -4.75,    -4.99,    -4.83,    -4.83
02.01. 10:30 ,    0.0,    0.0,  25.84,  26.33,  26.68,   1.253,   1.438,   4.720,  26.99,  -2.58,  -0.23,   1.243,   1.435,   1.064,  3376,  4452,  3440,  3448,  5128, 16480,    -4.58,    -4.42,    -4.42,    -4.58,    -4.50,    -4.42
02.01. 11:00 ,    0.0,    0.0,  25.84,  26.30,  26.68,   1.254,   1.438,   4.512,  26.99,  -2.61,  -0.22,   1.244,   1.435,   1.065,  3368,  4448,  3440,  3448,  5128, 16480,    -4.09,    -3.93,    -3.93,    -4.17,    -3.93,    -4.01
02.01. 11:30 ,    0.0,    0.0,  25.82,  26.33,  26.68,   1.258,   1.440,   4.784,  26.99,  -2.45,  -0.23,   1.246,   1.438,   1.068,  3368,  4452,  3440,  3448,  5112, 16480,    -3.60,    -3.19,    -3.35,    -3.60,    -3.19,    -3.19
02.01. 12:00 ,    0.0,    0.0,  25.84,  26.30,  26.68,   1.263,   1.444,   4.768,  26.97,  -2.60,  -0.23,   1.250,   1.442,   1.071,  3372,  4452,  3440,  3444,  5112, 16480,    -2.94,    -2.62,    -2.70,    -2.94,    -2.54,    -2.21
